module,folder,key,title,componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required,value,srcTitle,srcYardTag,notes
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,controllerState.controller,Controller › controller,controllerState,,pidController,false,,,,
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,controls.pump,controls › pump,controls,,control:pump,false,dhwPump,,,
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,parameters.flow,parameters › flow,parameters,,parameter:flowcontrol;parameter:flow,false,drivesFlowcontrolMinimumSetpoint,,,
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,sensors.temperature,sensors › temperature,sensors,,sensor:temperature,false,dhwTemperatureFreshwaterSupply,,,
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,sensors.measurement,sensors › measurement,sensors,,sensor:flow;sensor:temperature,false,,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,source,Source,source,,sensor:flow,true,dhwFlowBoosting,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,custom.controller,Custom › controller,custom,,,false,,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,controllerState.controller,Controller › controller,controllerState,,pidController,false,dhwPumpFlowController,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,controls.pump,controls › pump,controls,,control:pump,false,dhwPump,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,parameters.flow,parameters › flow,parameters,,parameter:flowcontrol;parameter:flow,false,heatpumpFlowSetpoint,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,sensors.temperature,sensors › temperature,sensors,,sensor:temperature,false,dhwTemperatureBoostingReturn,,,
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor,FlowSensor,sensors.measurement,sensors › measurement,sensors,,sensor:flow;sensor:temperature,false,,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,source,Source,source,,sensor:heatExchanger,true,dhwAdsorptionExchanger,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhwTemperatureFreshwaterSupply,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhwTemperatureAdsorptionReturn,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhwFlowDc,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,custom.sideA,Custom › sideA,custom,customSource,,true,Side,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,custom.sideB,Custom › sideB,custom,customSource,,true,Top,,,
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger,Heat exchanger,custom.exchangeCircuit,Custom › exchangeCircuit,custom,customSource,,true,@instance:adsorption,,,
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,source,Source,source,,sensor:heatExchanger,true,dhwConsumersExchanger,,,
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhwTemperatureBoostingReturn,,,
