module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dhw,sensorValues,consumersTemperatureDhwSupply,sensor:temperature,,50001038-53,consumers-temperature-dhw-supply,ConsumersTemperatureDhwSupply
dhw,sensorValues,consumersTemperatureDhwReturn,sensor:temperature,,50001038-48,consumers-temperature-dhw-return,ConsumersTemperatureDhwReturn
dhw,sensorValues,adsorptionFlowDhw,sensor:flow,,50001058-10,adsorption-flow-dhw,AdsorptionFlowDhw
dhw,sensorValues,adsorptionTemperatureWasteReturn,sensor:temperature,,50001038-38,adsorption-temperature-waste-return,AdsorptionTemperatureWasteReturn
dhw,sensorValues,adsorptionTemperatureDhwReturn,sensor:temperature,,50001038-56,adsorption-temperature-dhw-return,AdsorptionTemperatureDhwReturn
dhw,sensorValues,freshwaterHotwaterFlow,sensor:flow,,25001123-1,freshwater-hotwater-flow,FreshwaterHotwaterFlow
dhw,sensorValues,freshwaterHotwaterTemperature,sensor:temperature,,25001038-1,freshwater-hotwater-temperature,FreshwaterHotwaterTemperature
dhw,sensorValues,drivesDelta,sensor:deltaT,,,drives-delta,DrivesDelta
dhw,sensorValues,dcDelta,sensor:deltaT,,,dc-delta,DcDelta
dhw,sensorValues,consumersDelta,sensor:deltaT,,,consumers-delta,ConsumersDelta
dhw,sensorValues,adsorptionDelta,sensor:deltaT,,,adsorption-delta,AdsorptionDelta
dhw,sensorValues,dhwFreshwaterFlowSupply,sensor:calculatedFlow,,,dhw-freshwater-flow-supply,FreshwaterFlowSupply
dhw,sensorValues,dhwHvacExchanger,sensor:heatExchanger,,41001001,dhw-hvac-exchanger,HvacExchanger
dhw,sensorValues,dhwHeatpump,sensor:heatExchanger,,50001035,dhw-heatpump,Heatpump
dhw,sensorValues,dhwAdsorptionExchanger,sensor:heatExchanger,,50001004,dhw-adsorption-exchanger,AdsorptionExchanger
dhw,sensorValues,dhwConsumersExchanger,sensor:heatExchanger,,50001007,dhw-consumers-exchanger,ConsumersExchanger
dhw,sensorValues,dhwDcExchanger,sensor:heatExchanger,,50001008,dhw-dc-exchanger,DcExchanger
dhw,sensorValues,dhwDrivesExchanger,sensor:heatExchanger,,50001009,dhw-drives-exchanger,DrivesExchanger
dhw,controlValues,dhwPump,control:pump,,50001022,dhw-pump,Pump
dhw,controlValues,dhwHeatpump,control:heatpump,,50001035,dhw-heatpump,Heatpump
dhw,controlValues,dhwFlowcontrolDc,control:valve,flowcontrol,50001064-03,dhw-flowcontrol-dc,FlowcontrolDc
dhw,controlValues,dhwFlowcontrolDrives,control:valve,flowcontrol,50001064-08,dhw-flowcontrol-drives,FlowcontrolDrives
dhw,controlValues,dhwSwitchTank3Inlet,control:valve,switch,50001067-03,dhw-switch-tank3-inlet,SwitchTank3Inlet
dhw,controlValues,dhwSwitchTank3BoostingReturn,control:valve,switch,50001067-04,dhw-switch-tank3-boosting-return,SwitchTank3BoostingReturn
dhw,controlValues,dhwSwitchTank3Outlet,control:valve,switch,50001067-05,dhw-switch-tank3-outlet,SwitchTank3Outlet
dhw,controlValues,dhwSwitchTank3BoostingSupply,control:valve,switch,50001067-06,dhw-switch-tank3-boosting-supply,SwitchTank3BoostingSupply
dhw,controlValues,dhwSwitchTank2Inlet,control:valve,switch,50001067-07,dhw-switch-tank2-inlet,SwitchTank2Inlet
dhw,controlValues,dhwSwitchTank2BoostingReturn,control:valve,switch,50001067-08,dhw-switch-tank2-boosting-return,SwitchTank2BoostingReturn
dhw,controlValues,dhwSwitchTank2Outlet,control:valve,switch,50001067-09,dhw-switch-tank2-outlet,SwitchTank2Outlet
dhw,controlValues,dhwSwitchTank2BoostingSupply,control:valve,switch,50001067-10,dhw-switch-tank2-boosting-supply,SwitchTank2BoostingSupply
dhw,controlValues,dhwSwitchTank1Inlet,control:valve,switch,50001067-11,dhw-switch-tank1-inlet,SwitchTank1Inlet
dhw,controlValues,dhwSwitchTank1BoostingReturn,control:valve,switch,50001067-12,dhw-switch-tank1-boosting-return,SwitchTank1BoostingReturn
dhw,controlValues,dhwSwitchTank1Outlet,control:valve,switch,50001067-13,dhw-switch-tank1-outlet,SwitchTank1Outlet
dhw,controlValues,dhwSwitchTank1BoostingSupply,control:valve,switch,50001067-14,dhw-switch-tank1-boosting-supply,SwitchTank1BoostingSupply
dhw,controlValues,dhwSwitchLowTemperature,control:valve,switch,50001067-16,dhw-switch-low-temperature,SwitchLowTemperature
dhw,controlValues,dhwSwitchHeatpump,control:valve,switch,50001067-17,dhw-switch-heatpump,SwitchHeatpump
dhw,controlValues,dhwSwitchHighTemperature,control:valve,switch,50001067-18,dhw-switch-high-temperature,SwitchHighTemperature
